,furnishing,bathrooms,facing,security_numeric,price_numeric,built_up_area_numeric_in_sq_ft,balcony_numeric,floor_number,total_floors,age_numeric,AC,Bed,CCTV,Cupboard,Fridge,Geyser,Intercom,Microwave,Not Found,Sofa,Stove,TV,Washing Machine,+10,+2,+5,+7,Garden,Gas Pipeline,Gated Community,Gym,Intercom,Kids Area,Lift,Not Found,Parking,Pet Allowed,Pool,Power Backup,Sports Facility,Water Supply
145,Fully Furnished,2,North-West,130000.0,40000,615,0,10,12,16,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
146,Unfurnished,2,South-West,200000.0,62000,980,1,5,12,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1
147,Unfurnished,2,North-East,200000.0,70000,900,0,8,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
148,Fully Furnished,2,East,150000.0,45000,755,0,3,8,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
149,Fully Furnished,2,West,100000.0,39000,600,1,3,3,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
150,Fully Furnished,2,West,150000.0,60000,1000,1,2,3,8,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
151,Semi Furnished,2,West,150000.0,55000,800,0,5,6,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
153,Semi Furnished,2,South,150000.0,60000,800,0,6,25,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
154,Semi Furnished,2,South-East,150000.0,62000,900,0,12,25,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
155,Semi Furnished,2,South,150000.0,53000,750,0,5,22,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
156,Fully Furnished,2,South-West,250000.0,85000,900,0,14,16,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
157,Unfurnished,2,West,100000.0,38000,650,0,5,12,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
158,Semi Furnished,3,West,250000.0,90000,1500,1,8,10,8,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
159,Semi Furnished,2,North,250000.0,72000,1215,0,14,22,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
160,Fully Furnished,2,East,200000.0,70000,1215,0,2,19,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
161,Fully Furnished,2,South,200000.0,55000,720,0,5,6,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,Fully Furnished,2,South-East,130000.0,40000,500,0,1,3,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163,Fully Furnished,2,South-East,120000.0,42000,510,0,1,3,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
164,Unfurnished,2,East,150000.0,46000,650,0,8,19,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
165,Semi Furnished,2,West,210000.0,72000,875,0,5,16,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
166,Fully Furnished,2,South-East,150000.0,61000,850,0,1,3,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
167,Fully Furnished,2,South-East,150000.0,60000,800,0,2,3,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
168,Fully Furnished,2,East,200000.0,60000,760,1,2,6,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
169,Semi Furnished,2,East,150000.0,51000,650,0,3,19,5,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
170,Semi Furnished,2,East,200000.0,55000,850,0,5,8,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
171,Fully Furnished,2,East,180000.0,62000,683,0,3,15,6,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
172,Semi Furnished,2,East,180000.0,72000,720,0,13,16,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
173,Semi Furnished,2,North-West,200000.0,72500,750,0,3,22,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
174,Semi Furnished,2,South-East,250000.0,72000,700,0,6,22,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175,Semi Furnished,2,East,200000.0,81000,890,1,12,13,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
176,Semi Furnished,2,North-East,350000.0,115000,1450,1,10,22,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
177,Fully Furnished,2,South-East,250000.0,80000,950,1,6,22,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
178,Fully Furnished,2,East,350000.0,110000,1450,1,7,14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
179,Fully Furnished,2,South-West,350000.0,115000,1450,1,7,14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
180,Unfurnished,2,West,250000.0,72000,1250,0,14,22,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
181,Semi Furnished,2,East,140000.0,49000,650,0,11,19,6,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1
182,Unfurnished,1,South-East,150000.0,53000,650,0,17,22,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
183,Fully Furnished,2,South-East,300000.0,110000,1300,1,6,23,4,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1
184,Unfurnished,2,East,100000.0,40000,620,0,5,7,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
185,Semi Furnished,2,South-East,210000.0,70000,923,0,2,16,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
186,Unfurnished,2,West,300000.0,85000,950,0,9,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
187,Unfurnished,3,East,500000.0,159000,1650,1,12,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
188,Fully Furnished,2,North-East,250000.0,65000,1050,0,6,12,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
189,Semi Furnished,2,North-East,200000.0,74000,1050,0,12,19,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
190,Fully Furnished,2,North-East,300000.0,99990,1200,0,10,17,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
191,Semi Furnished,2,North-East,100000.0,52000,750,0,5,16,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
192,Fully Furnished,2,South-East,200000.0,60000,852,0,4,6,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
193,Fully Furnished,2,East,200000.0,80000,960,0,1,8,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
194,Unfurnished,2,East,100000.0,48000,650,0,14,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
195,Unfurnished,2,North-East,150000.0,40000,630,1,6,11,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
196,Fully Furnished,3,North-East,200000.0,75000,1500,0,8,12,15,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1
197,Unfurnished,2,South-West,150000.0,48000,560,0,12,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
198,Unfurnished,2,South-East,200000.0,46000,650,0,8,10,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
199,Semi Furnished,2,East,200000.0,75000,600,0,15,18,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1
200,Fully Furnished,2,North-East,250000.0,85000,980,0,10,15,20,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
201,Semi Furnished,2,East,200000.0,67000,980,0,14,19,6,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
202,Unfurnished,2,East,200000.0,68000,890,0,5,14,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
203,Semi Furnished,2,North,300000.0,85000,665,0,15,18,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
204,Semi Furnished,3,North-East,400000.0,110000,805,0,14,18,3,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
205,Unfurnished,2,South-East,200000.0,65000,890,0,12,19,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
206,Semi Furnished,2,South,200000.0,69000,890,0,14,16,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
207,Semi Furnished,3,North-West,450000.0,140000,1200,1,12,30,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1
208,Semi Furnished,2,East,150000.0,75000,800,0,9,22,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
209,Semi Furnished,2,South-East,150000.0,53000,650,0,10,14,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
210,Fully Furnished,2,North-East,100000.0,48500,800,0,2,3,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
211,Fully Furnished,2,North,150000.0,57500,1000,1,3,7,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1
212,Fully Furnished,2,North,400000.0,135000,1200,0,27,35,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
214,Fully Furnished,2,North,200000.0,100000,1100,1,4,22,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
215,Semi Furnished,2,North,190000.0,95000,1483,1,5,22,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
216,Semi Furnished,2,North-East,140000.0,72000,794,1,15,22,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
217,Unfurnished,3,East,300000.0,91000,1356,1,14,17,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
218,Semi Furnished,2,South-East,150000.0,55000,500,0,6,15,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
219,Semi Furnished,2,North-East,190000.0,95000,1050,1,18,22,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
220,Semi Furnished,2,North-East,150000.0,75000,1050,1,2,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
221,Semi Furnished,3,North-East,200000.0,100000,1500,1,4,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
222,Fully Furnished,2,North-East,150000.0,65000,675,0,8,21,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
223,Semi Furnished,2,East,150000.0,52000,625,0,7,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
224,Unfurnished,2,East,300000.0,75000,900,1,10,40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
225,Fully Furnished,2,North,100000.0,45000,650,0,2,4,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
226,Fully Furnished,1,West,100000.0,36500,550,1,5,6,20,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
227,Unfurnished,1,North,100000.0,28500,565,1,2,4,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
228,Unfurnished,2,North,150000.0,49000,620,0,6,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
229,Fully Furnished,2,West,100000.0,45000,900,0,3,3,8,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230,Fully Furnished,3,East,400000.0,135000,1450,0,6,11,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1
231,Semi Furnished,1,East,150000.0,40000,645,0,0,7,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
232,Unfurnished,2,East,250000.0,70000,1200,0,9,16,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
233,Fully Furnished,3,East,400000.0,140000,1600,1,5,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
234,Fully Furnished,2,East,200000.0,68000,1100,0,5,11,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
235,Fully Furnished,2,North-East,300000.0,100000,1150,1,11,22,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
236,Unfurnished,2,North-West,200000.0,75000,850,0,15,22,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
237,Semi Furnished,2,East,500000.0,118000,1028,0,7,22,12,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
238,Unfurnished,2,East,200000.0,60000,1050,0,8,12,8,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1
239,Fully Furnished,3,West,1000000.0,250000,1785,0,20,37,5,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
240,Semi Furnished,2,East,150000.0,60000,1050,0,9,12,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
241,Fully Furnished,1,East,120000.0,40000,600,0,5,7,10,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1
242,Fully Furnished,2,South,150000.0,43000,650,0,6,11,15,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
243,Semi Furnished,3,East,300000.0,120000,1200,1,5,22,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
244,Unfurnished,2,South,150000.0,55000,750,0,3,22,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
245,Fully Furnished,2,East,200000.0,85000,950,0,4,17,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
246,Fully Furnished,2,East,250000.0,85000,950,0,7,15,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
247,Semi Furnished,2,East,150000.0,55000,750,0,7,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
248,Semi Furnished,3,East,500000.0,125000,1600,1,9,11,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
249,Semi Furnished,2,East,150000.0,55000,725,0,7,17,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
250,Unfurnished,2,East,200000.0,65000,800,0,11,16,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
251,Unfurnished,2,North-West,150000.0,55000,700,0,10,23,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
252,Unfurnished,2,East,150000.0,55000,700,0,12,19,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
253,Fully Furnished,3,East,300000.0,120000,1700,0,7,11,12,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1
254,Fully Furnished,2,East,200000.0,65000,975,0,5,11,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
255,Fully Furnished,2,East,250000.0,65000,960,0,5,12,19,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
256,Unfurnished,3,East,500000.0,150000,1650,1,5,11,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
257,Fully Furnished,2,East,300000.0,103000,900,0,18,19,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
258,Unfurnished,1,East,150000.0,50000,600,0,14,23,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
259,Unfurnished,2,North-West,200000.0,65000,800,0,9,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
260,Semi Furnished,3,East,500000.0,125000,1500,0,4,7,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
261,Fully Furnished,2,East,180000.0,62000,675,0,5,7,5,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
262,Semi Furnished,3,East,300000.0,100000,1305,1,1,15,25,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
263,Unfurnished,2,West,300000.0,85000,660,0,10,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
266,Unfurnished,2,West,150000.0,42000,510,0,5,20,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
268,Fully Furnished,2,North-East,250000.0,84000,900,0,6,7,4,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1
269,Semi Furnished,2,West,300000.0,78000,930,0,20,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1
270,Unfurnished,2,East,100000.0,42000,650,0,3,7,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
271,Fully Furnished,2,East,200000.0,85000,1000,0,3,11,12,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
272,Unfurnished,3,East,200000.0,65000,1000,0,2,3,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
273,Fully Furnished,2,East,200000.0,80000,790,1,6,12,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0
274,Unfurnished,2,East,150000.0,55000,600,0,4,7,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
275,Semi Furnished,2,East,200000.0,60001,902,0,8,13,15,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1
276,Semi Furnished,2,East,250000.0,90000,1250,0,7,15,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
277,Fully Furnished,3,East,700000.0,160000,1500,1,12,22,6,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
278,Fully Furnished,2,East,200000.0,90000,800,1,15,35,8,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
279,Semi Furnished,3,East,400000.0,100000,1200,1,2,7,12,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1
280,Unfurnished,2,East,250000.0,65000,700,1,11,15,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1
281,Fully Furnished,2,East,100000.0,40000,625,0,4,7,10,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1
282,Semi Furnished,2,East,250000.0,85000,1100,1,7,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
283,Unfurnished,3,East,300000.0,95000,1350,0,3,15,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
284,Fully Furnished,2,East,300000.0,110000,1175,1,14,22,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
285,Semi Furnished,2,North,300000.0,85000,1024,1,1,22,11,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
286,Fully Furnished,2,North-East,150000.0,65000,1020,1,5,12,7,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
287,Semi Furnished,3,East,300000.0,100000,1450,1,0,16,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1
288,Unfurnished,2,East,200000.0,68000,950,1,0,15,8,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1
289,Semi Furnished,2,North-East,300000.0,90000,1350,0,5,22,7,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
290,Fully Furnished,3,North,1200000.0,285000,1600,1,18,30,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
291,Unfurnished,3,North,500000.0,174000,1500,0,18,40,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
293,Unfurnished,2,East,150000.0,45000,850,0,5,11,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1
294,Unfurnished,2,East,200000.0,85000,950,0,16,36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
295,Semi Furnished,2,East,300000.0,85000,1050,1,13,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
